,model_name,init_time,readme_time,init_readme_diff
175,pierric/test-EsperBERTo-small,2020-02-14,Fri Feb 14 19:16:46 2020 +0000,0 days 00:00:30
8842,nlptown/bert-base-multilingual-uncased-sentiment,2020-02-14,Fri Dec 11 22:58:16 2020 +0100,301 days 11:57:42
24546,dbmdz/bert-base-turkish-cased,2020-02-16,Fri Dec 11 22:37:09 2020 +0100,298 days 23:15:11
6430,mrm8488/bert-spanish-cased-finetuned-ner,2020-02-17,Fri Dec 11 22:53:15 2020 +0100,298 days 07:52:59
28050,mrm8488/bert-spanish-cased-finetuned-pos,2020-02-21,Fri Dec 11 22:53:21 2020 +0100,294 days 05:28:08
17471,facebook/bart-large-cnn,2020-02-21,Fri Dec 11 22:39:27 2020 +0100,294 days 05:46:01
28338,aubmindlab/bert-base-arabert,2020-02-28,Fri Dec 11 22:34:18 2020 +0100,287 days 20:06:20
4485,aubmindlab/bert-base-arabertv01,2020-02-28,Fri Dec 11 22:34:21 2020 +0100,287 days 20:04:40
29637,emilyalsentzer/Bio_ClinicalBERT,2020-02-28,Fri Dec 11 22:39:10 2020 +0100,287 days 20:54:21
15390,emilyalsentzer/Bio_Discharge_Summary_BERT,2020-02-28,Fri Dec 11 22:39:14 2020 +0100,287 days 20:04:14
9831,fmikaelian/camembert-base-squad,2020-03-01,Fri Dec 11 22:40:12 2020 +0100,285 days 00:33:50
27073,fmikaelian/camembert-base-fquad,2020-03-01,Fri Dec 11 22:40:08 2020 +0100,285 days 06:59:12
26022,mrm8488/bert-uncased-finetuned-qnli,2020-03-03,Fri Dec 11 22:53:27 2020 +0100,283 days 02:54:43
8467,asafaya/bert-base-arabic,2020-03-03,Fri Dec 11 22:34:00 2020 +0100,283 days 09:07:00
11646,mrm8488/bert-multi-cased-finetuned-xquadv1,2020-03-03,Fri Dec 11 22:52:58 2020 +0100,282 days 23:48:41
24129,DeepPavlov/rubert-base-cased-conversational,2020-03-04,Fri Dec 11 22:26:34 2020 +0100,282 days 08:24:24
11808,DeepPavlov/bert-base-multilingual-cased-sentence,2020-03-04,Fri Dec 11 22:26:30 2020 +0100,282 days 08:13:28
5028,DeepPavlov/rubert-base-cased,2020-03-04,Fri Dec 11 22:26:41 2020 +0100,282 days 09:13:28
1366,mrm8488/bert-multi-uncased-finetuned-xquadv1,2020-03-04,Fri Dec 11 22:53:02 2020 +0100,281 days 21:59:08
26891,DeepPavlov/bert-base-cased-conversational,2020-03-04,Fri Dec 11 22:26:27 2020 +0100,282 days 08:32:03
10269,DeepPavlov/rubert-base-cased-sentence,2020-03-04,Fri Dec 11 22:26:37 2020 +0100,282 days 08:04:25
