Model,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z,2022-09-05T00:00:00.000Z,2022-09-12T00:00:00.000Z,2022-09-19T00:00:00.000Z
allenai/tk-instruct-large-def-pos,,,,,,,,2,49,58,69,291,334,33,76,10,7,8,11,91,155,3720,48,44,247,480
KoboldAI/OPT-6B-nerys-v2,,,,,,,,,,,,,,,426,86,158,126,131,200,135,46,231,461,510,63
psyche/KoT5-summarization,,,,,,,,,,,,,,,56,14,53,165,240,217,372,71,155,25,15,8
ckiplab/bert-base-han-chinese-pos,,,,,,,,,,,,,,,59,6,14,16,3,4,1137,13,6,29,58,3
paust/pko-t5-base,,,,,,,,84,117,136,83,0,21,0,0,0,58,2,0,12,503,295,82,87,37,56
oliverguhr/spelling-correction-english-base,,,,,,,,,154,11,81,101,60,0,89,31,137,183,117,88,71,26,99,206,135,26
chanind/frame-semantic-transformer-base,,,,,,,,71,38,78,74,48,39,57,53,6,75,94,166,19,59,60,26,31,97,39
Aniemore/wav2vec2-xlsr-53-russian-emotion-recognition,,,,,,,,56,55,1,123,95,22,8,19,104,120,71,42,127,43,100,53,24,3,2
AbhilashDatta/T5_qgen-squad_v2,,,,,,,,,,60,75,67,76,69,54,89,32,28,46,76,74,89,56,46,39,12
KES/TEC-English,,,,,,,,,,,,,17,61,33,55,177,9,0,7,21,0,2,42,1157,
