Model,2021-08-30T00:00:00.000Z,2021-09-06T00:00:00.000Z,2021-09-13T00:00:00.000Z,2021-09-20T00:00:00.000Z,2021-09-27T00:00:00.000Z,2021-10-04T00:00:00.000Z,2021-10-11T00:00:00.000Z,2021-10-18T00:00:00.000Z,2021-10-25T00:00:00.000Z,2021-11-01T00:00:00.000Z,2021-11-08T00:00:00.000Z,2021-11-15T00:00:00.000Z,2021-11-22T00:00:00.000Z,2021-11-29T00:00:00.000Z,2021-12-06T00:00:00.000Z,2021-12-13T00:00:00.000Z,2021-12-20T00:00:00.000Z,2021-12-27T00:00:00.000Z,2022-01-03T00:00:00.000Z,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z,2022-01-24T00:00:00.000Z,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z,2022-02-21T00:00:00.000Z,2022-02-28T00:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z
sentence-transformers/all-MiniLM-L6-v2,125,583,2005,20276,16822,24066,138684,52581,618613,1528165,87571,134396,182277,1294,102884,89653,66086,729679,128293,230615,123640,98940,916117,792727,208936,327622,439953,344973,441835,716790,470255,395135,799560,843219,629631,222797,408109,438076,419796,443739,387578,676707,420980,0,444274,514430,433725,447176,463864,1024762,1338218,583825,311146
sentence-transformers/all-mpnet-base-v2,281,1053,1403,3104,11994,37892,28697,18064,36636,67053,20783,43181,67407,630,51977,25051,36930,36199,182843,79854,100329,20593,68062,60852,162479,99632,135105,96223,95226,77192,110363,115173,92879,119793,198425,108335,178484,124129,175085,139526,94044,231055,182989,0,85058,153759,392324,284994,85245,281344,159160,38655,25069
sentence-transformers/all-MiniLM-L12-v2,176,208,373,305,971,1271,5713,8676,9078,5721,8914,6163,9501,9,32564,3683,37352,3435,5225,10358,5469,2534,6741,8190,7751,20911,8804,21353,14080,82104,23364,12709,50444,38788,193550,167814,63437,43997,45789,66328,70881,117595,105543,0,431400,143315,163694,141998,131981,133495,132782,52411,43254
EleutherAI/gpt-j-6B,2269,2410,1848,2590,6116,3075,3046,5233,6147,7781,8966,24280,5343,18,5186,11939,7299,3905,12916,38359,36459,16613,49385,72810,33018,52188,55350,50001,45102,27324,34606,30650,26053,24740,13678,9282,10814,87193,213186,208075,208008,240324,236182,209764,209527,221092,216722,218540,219734,220684,210930,226903,74059
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,63,116,328,213,951,1738,878,6195,4730,1363,2354,1805,7379,15,3315,2295,12866,9281,394636,1127516,1243367,135995,3654514,463051,3386454,22790,25348,34217,22787,11942,8674,7549,9427,9910,11129,62774,15360,75049,34547,17295,26660,23042,18652,0,21449,26982,44721,67196,36970,35229,30807,13672,12197
sentence-transformers/all-distilroberta-v1,63,163,320,312,460,3836,1890,1971,1076,1094,1946,1475,5069,27,2985,3601,6842,3594,4098,5611,2422,1981,9162,18000,6034,6059,6770,24074,74189,62581,28557,55302,75520,162076,141265,40068,24298,29256,535531,74480,16143,48927,50720,0,17068,15704,19802,24222,25592,16021,12406,3642,4270
yiyanghkust/finbert-tone,541,569,574,919,498,1777,7249,974,8917,16031,11496,718,2546,5,1133582,3410,3133,3002,3461,16293,22752,8715,20289,31269,21523,16563,17430,19347,16921,14854,17254,19332,17756,18116,37050,37388,39459,34624,35529,33303,28671,41653,62219,0,42578,63351,75455,30934,11638,2287,16110,88885,1961
microsoft/deberta-v3-large,,,,,,,,273,4837,2219,363,2351,17174,59,3348,1096,6183,4306,8892,2198,738,243,4647,9335,2045,4187,6323,5075,5667,11995,12692,12512,46883,35046,58870,52050,34867,32109,30611,30885,26905,37003,15482,0,16714,19409,15430,17913,18786,24100,25121,7189,3278
sentence-transformers/multi-qa-mpnet-base-dot-v1,67,107,113,129,304,1495,1895,646,888,420,469,837,2833,5,1417,2567,2280,2515,5439,2420,1686,1031,1491,138908,311203,128589,6780,4521,4990,3506,4051,5007,5545,8979,5581,4882,8169,15582,24133,10073,7177,25327,18370,0,46437,89596,133225,154739,162294,153427,148802,69210,57160
microsoft/deberta-v3-base,,,,,,,,88,64,182,2844,486,734,12,5104,3933,1673,3132,3835,4967,4072,1797,5164,6111,7390,7698,8499,9466,7477,8860,13399,15889,12462,11116,11548,14592,14977,20451,26053,23640,20334,71023,21984,0,19367,24776,16585,20368,16630,18882,15321,4938,5133
pysentimiento/robertuito-sentiment-analysis,,,,,,,,,,,,,262,158,886,747,423,166,376,1194,29692,13327,5306,46904,54105,72987,16312,23282,31292,13041,13248,21581,9327,4889,17137,58498,15845,13595,13713,29312,11911,25743,32652,0,106875,16951,373015,9403,5797,27253,10653,4521,3968
sentence-transformers/multi-qa-mpnet-base-cos-v1,9,45,22,24,86,128,776,480,422,571,953,8646,5567,42,1551,450,695,396,760,1062,622,394,2845,2833,3925,3185,3923,3422,3778,4998,6270,11517,8095,7409,9390,9466,10857,8768,13548,16165,14547,14665,11534,0,11173,10332,9342,11534,5283,3571,3915,1862,1245
ntu-spml/distilhubert,,,,,,,,,18,29,19,27,417,0,1286,43456,722,715,835,26352,284,212,227,718,507,36422,309,2296,191,208,4212,8304,12376,9595,10251,10116,12899,5103,6147,3763,7154,13029,9415,0,4090,4972,695,10300,3831,8079,977,353,338
vennify/t5-base-grammar-correction,115,154,197,159,280,363,182,578,600,268,427,513,612,2,688,505,2727,910,613,3057,1147,1093,475,950,855,412,516,712,503,579,510,726,778,687,986,850,745,952,11009,10950,16856,12657,10118,0,12513,35964,13962,15402,17773,14398,13361,5981,6585
oliverguhr/fullstop-punctuation-multilang-large,,,,,,,,,,,,,816,3,693,351,193,175,83,205,519,191,390,942,1868,2380,747,702,556,873,505,566,318,682,1382,12750,10785,12139,10883,20089,9723,10032,9558,0,19179,10017,1746,1675,1872,2634,1785,760,867
pysentimiento/robertuito-emotion-analysis,,,,,,,,,,,,,57,0,95,132,149,15,84,221,617,124,210,1181,7159,8926,9769,343,9735,1018,17775,12110,470,268,3030,6836,18865,8704,7238,4608,8186,18195,11099,0,755,698,10678,2431,659,650,394,668,511
Davlan/bert-base-multilingual-cased-ner-hrl,31,51,223,164,429,693,3606,1568,655,802,507,601,382,0,994,215,9483,217,457,581,492,119,188,539,323,410,1328,763,605,345,303,207,253,290,225,449,435,459,873,2035,1342,4537,9768,8213,9821,9228,10191,9895,8936,11618,12381,11500,3601
sentence-transformers/msmarco-distilbert-dot-v5,,5,80,128,131,100,1032,5182,3694,4254,5510,4799,3870,179,7425,4749,3504,1107,3543,5010,3432,2419,2996,4830,3281,3901,2889,2674,5286,4298,5897,3863,2842,2467,3591,2065,3135,2049,2435,1425,2727,6618,5661,0,3172,3890,13187,37003,11258,264,371,234,142
sonoisa/sentence-bert-base-ja-mean-tokens,593,809,524,750,1112,1911,2153,865,2171,1104,1125,1049,1023,1,2540,668,769,254,516,550,710,364,819,531,729,753,842,5020,1722,375,2922,6604,3164,4930,1886,2613,2363,4854,2984,4010,637,1114,2766,0,6835,14616,20211,8818,13962,11267,13940,16383,4815
knkarthick/MEETING_SUMMARY,,,2,72,30,36,16,184,400,786,1082,672,1634,0,467,427,504,341,483,295,357,186,563,735,1336,1448,672,4627,7317,5646,790,1868,2572,3474,3943,4845,4574,10542,6351,7689,5651,13220,11541,0,2775,2263,1475,1319,1632,15892,2825,759,1092
csebuetnlp/mT5_multilingual_XLSum,,,,,91,329,562,646,925,983,865,1044,921,8,1248,1118,697,1164,1661,1526,2049,5127,3375,2909,2501,2994,6029,3040,2923,2566,2052,2769,2624,3067,3731,2702,2673,2786,2907,3123,2892,2362,3086,3955,2298,2214,2362,1470,1291,1629,2238,1378,1618
microsoft/deberta-v3-small,,,,,,,,24,13,26,32998,25563,964,1,646,1726,178,19,111,433,319,147,470,310,1430,193,516,1020,7932,2483,2514,1067,2062,2947,2989,3636,7872,7133,6545,6474,4972,5040,1782,0,3425,5675,4969,6413,4338,2937,2400,880,1090
bigscience/T0_3B,,,,,,,32,1327,942,1344,618,726,1219,10,950,1008,3384,2856,2659,1492,1543,1168,776,6262,4310,2463,4174,2122,5362,4717,4715,3277,2173,1616,1767,2284,2981,1851,5652,7181,4130,6259,22697,2119,3136,8854,2321,2285,5344,3153,3187,2479,1767
Narsil/deberta-large-mnli-zero-cls,406,522,291,180,135,136,127,158,197,75,55,19,4072,34,2771,2218,2187,1741,1037,59,77,61,1887,86,1595,2024,3346,2101,1923,3790,1965,4035,2980,2139,2202,2227,2186,2158,2099,2366,2954,2547,3584,2160,2166,2435,2084,2022,2099,1973,1952,1887,667
hf-internal-testing/tiny-random-distilbert,388,290,319,419,205,282,255,210,245,350,332,409,566,0,1263,1173,774,766,671,943,1219,1244,1517,1689,1615,1425,1183,1242,1090,1573,1748,1034,1229,892,2595,3699,7070,6599,5116,2084,4477,4082,9982,0,7842,11021,9456,8236,6168,5731,2896,2064,505
shibing624/macbert4csc-base-chinese,,,,,,,,,,,,,510,0,1723,9931,1957,4303,736,162054,383082,187820,74,1488,5214,1442,1159,3836,838,1114,906,709,483,834,4953,561,899,1080,1221,489,18620,921,851,0,2901,865,732,1130,818,2515,1323,371,2678
microsoft/beit-base-patch16-224-pt22k-ft22k,502,522,346,510,1569,152,552,1807,1346,1146,1170,1423,1423,10,2030,1792,1733,1207,1657,2403,1966,1212,2627,2671,1813,1756,3080,4785,1901,3566,1592,5939,2998,2413,2174,2434,2480,1833,1505,1442,1051,1368,1973,0,3371,1437,2241,2141,1876,1577,4409,955,540
sentence-transformers/all-mpnet-base-v1,14,23,266,314,565,63,275,121,195,213,2285,120,189,1,138,108,169,113,325,278,93,54,572,311,1149,363,1382,2410,666,570,1059,2027,1552,683,1096,3054,12437,14811,11630,1682,8031,20595,24576,0,29583,43695,21605,28696,24293,23844,33508,61,64
microsoft/trocr-base-printed,,,,,,,36,388,463,757,24199,45047,40875,10,1681,466,163,101,249,247,183,160,102,1026,921,387,686,677,720,518,413,985,478,302,550,397,528,550,17464,818,1746,2431,1165,0,1640,4047,2887,2971,7770,6073,4827,1272,2294
openai/clip-vit-base-patch16,,,130,90,8248,9455,5243,3901,2030,976,323,163,173,0,341,204,190,573,1053,2926,6679,416,747,1121,708,1674,2115,1637,2105,425,560,577,812,764,767,639,591,748,1608,984,1160,1732,1776,0,1407,7254,19365,10125,6795,10730,10422,3174,5142
sentence-transformers/multi-qa-distilbert-cos-v1,10,66,42,50,64,177,1085,459,241,624,484,631,303,1,1157,28486,365,866,558,487,664,578,917,892,652,570,847,661,1301,844,1085,1744,1443,1779,1956,1619,3331,6110,13494,6538,3896,5501,4756,0,9688,3439,923,1050,1736,576,879,364,378
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,,,50,38,107,106,60,152,277,396,317,256,189,2,857,843,658,563,471,303,383,198,32948,16771,3312,7455,3630,4923,11377,1796,3473,1521,1504,2714,2889,2961,1583,1520,1540,1364,10642,1340,1060,0,492,426,472,1109,2305,1914,2401,698,1184
CAMeL-Lab/bert-base-arabic-camelbert-mix-ner,,,,,1,3,6,0,13,20,0,2,0,0,73,5,20,8,63,146,41,4,29,2072,259,130,95,43,416,145,140,96,138,109,135,5668,11523,6304,96,147,451,408,142,339,327,132,266,465,203,10133,13062,13154,3961
sentence-transformers/msmarco-bert-base-dot-v5,10,46,29,17,44,166,221,328,394,31,39,173,250,0,431,159,30,39,174,196,212,96,432,451,1055,2111,853,953,873,1507,1487,874,1063,1297,2141,2414,2008,2632,1497,2021,2816,3904,8615,0,7572,17208,13425,10815,9532,7192,10109,3631,4077
fnlp/bart-base-chinese,,1,71,155,182,90,453,608,340,879,1213,687,1151,0,1472,2205,793,968,1384,948,1837,233,283,1207,1595,1767,1343,1364,1407,1723,1980,2111,4498,4906,2723,2526,2653,1734,1761,1076,1996,3113,2509,0,2269,2235,1400,1677,1697,2050,2032,738,381
anferico/bert-for-patents,,,,,,34,5,66,76,184,106,166,23,1,54,42,93,49,43,230,303,36,237,373,157,157,223,238,327,1406,1690,1254,1941,2368,3175,4418,4310,5455,6809,5589,7842,10146,2839,742,313,410,369,389,228,264,286,244,149
bhadresh-savani/bert-base-go-emotion,,,,,,,,,,,,,,,,41,210,12,25,130,96,10,102,87,239,2597,150,6141,90,379,7815,7271,1276,9137,1344,540,487,614,569,64072,3333,54094,23550,473,269,9586,9281,11708,1693,1016,20780,6526,4364
microsoft/mdeberta-v3-base,,,,,,,,,82,19,18,36,204,0,380,618,517,6862,1060,409,294,141,643,925,297,537,298,366,785,340,2487,2148,960,2532,7460,2089,1416,3923,4600,1409,1325,5363,2062,0,4146,3620,3698,4197,2022,1911,2631,1912,518
papluca/xlm-roberta-base-language-detection,,,,,,,,,,,,,540,0,57,110,46,52,294,429,186,78,497,182,184,285,270,2825,462,1032,752,849,13893,18344,990,1569,989,3016,5197,7199,5427,1247,689,0,958,1033,941,1100,15888,974,861,729,369
cointegrated/rubert-tiny2,,,,,,,,,201,244,505,370,109,3,534,458,671,300,389,1421,991,666,2947,2781,5447,8868,3192,822,1319,2679,2627,2150,1102,1887,2430,1292,683,1200,1173,16120,2571,870,1074,2388,2256,2361,1856,1228,1281,1087,1793,826,916
Salesforce/codet5-base,,146,406,216,390,412,166,272,637,336,348,309,645,1,426,613,406,504,1494,883,948,816,1332,2672,1696,2138,2241,2696,2133,2468,1941,1696,2798,3002,2730,1121,1539,1576,1675,1873,1667,1718,1178,1316,1715,1531,1658,1544,2009,2364,2228,3518,1120
VietAI/gpt-neo-1.3B-vietnamese-news,,,,235,141,35,68,26,68,54,70,20,44,0,13,7,11,30,131,128,75,11,0,65,20,8,17,12,17,11,2,13,42,31,56,24,43,53,70,24,43,45,9,2,40,19,2507,10770,11644,12651,8444,1896,416
arpanghoshal/EmoRoBERTa,192,131,208,163,86,71,84,132,183,190,85,108,348,0,130,195,219,142,104,386,56,93,251,275,215,529,155,438,297,638,1054,1277,997,998,1622,703,13342,27921,902,14824,839,1468,14324,1875,15366,1313,2872,16056,2663,3929,92176,8894,1279
microsoft/beit-base-patch16-224,113,221,196,219,125,99,69,55,174,117,82,226,756,3,1039,299,207,154,220,671,1065,418,1281,1870,1262,2710,1611,731,245,833,392,226,88962,6956,1368,758,837,262,200,301,238,263,215,0,1017,297,362,319,306,473,497,203,101
sentence-transformers/all-roberta-large-v1,74,70,75,116,125,351,441,171,372,6317,2510,266,372,3,726,298,805,510,631,838,819,457,1378,1340,819,10279,11215,2227,1473,4391,2607,1998,1005,3118,2309,612,1135,1298,1186,4389,1461,1351,1408,0,2354,2289,1816,1519,4038,2924,3548,449,1530
climatebert/distilroberta-base-climate-f,,,,,,,,8,34,6,70,7,584,0,625,87,107,47,250,64,125,30,121,102,40,278,207,336,48755,15383,1197,570,68,223,249,2331,834,295,207,142,1328,1406,8834,4147,6950,3900,1249,286,5409,3807,1783,207,468
facebook/wav2vec2-xls-r-300m,,,,,,,,,,7,46,155,1363,3,1215,706,461,518,652,1255,1115,779,2488,2250,1892,1550,1144,1568,2038,1894,18312,2454,1980,1594,1725,1020,2092,1387,2433,1855,1270,1444,1470,901,1708,1772,2356,1930,852,1166,1668,809,731
google/t5-base-lm-adapt,,,,,,,,,,255,189,207,378,2,4243,429,87,92,139,916,1210,480,2267,2917,2404,1686,1284,952,511,714,956,798,1886,1082,1038,1616,1389,1426,653,1466,4097,6852,2958,0,2841,1321,1250,3284,3001,2009,2043,204,134
Babelscape/rebel-large,,,,,,,,,71,137,107,81,140,0,216,132,78,170,115,652,276,744,395,329,465,137,448,348,255,287,327,692,605,505,1317,764,977,1196,1275,1289,1138,1618,955,1568,1847,1510,1351,2678,1492,30836,22378,2161,376
airesearch/wav2vec2-large-xlsr-53-th,67,1612,931,569,614,2322,3250,5951,6329,12908,13676,6585,4403,0,9608,2998,3059,212,364,282,186,70,401,129,214,316,258,3423,1071,271,145,350,169,3396,4038,405,190,121,115,112,220,379,283,207,206,135,396,244,68,1551,438,459,217
Davlan/xlm-roberta-large-ner-hrl,31,60,83,96,219,138,165,258,297,127,130,97,72,0,94,16,623,873,1160,856,931,494,915,1743,1906,255,449,155,292,96,157,119,221,134,151,106,124,1331,160,123,244,916,120,4838,10208,2531,441,148,113,78,68,117,53
Salesforce/codet5-small,,23,109,173,18,27,237,95,142,145,56,159,72,2,266,349,298,191,804,657,737,264,261,456,600,347,644,532,756,636,627,651,932,930,16886,1244,936,2995,1275,1444,1783,1515,1782,1175,938,1913,1736,1435,2511,2529,1955,2201,843
bigscience/T0pp,,,,,,,112,3156,2135,488,2853,286,262,1,295,353,128,216,607,487,714,471,517,387,496,376,570,226,263,547,947,1737,902,514,755,685,1376,709,423,451,418,438,415,720,728,669,556,982,803,3879,4816,2304,306
sentence-transformers/multi-qa-MiniLM-L6-dot-v1,7,12,22,73,30,17,187,35,59,129,35,114,92,0,51,34,9,72,20,84,160,59,123,283,777,294,216,139,24110,45396,264,726,183,1180,662,149,277,242,210,169,310,248,509,0,1009,1093,3318,4266,3474,3712,3501,1339,1188
google/t5-large-lm-adapt,,,,,,,,,,170,33,159,666,0,499,951,6828,828,330,845,2059,72,1249,1784,721,203,235,498,1064,702,415,1924,6080,2643,2589,784,458,796,876,700,817,1400,1868,0,2308,1914,5446,2842,3342,3690,3293,3010,2509
google/t5-small-lm-adapt,,,,,,,,,,146,143,155,146,1,153,274,391,38253,331,1281,714,85,534,2437,1338,1513,1056,421,874,439,1182,2390,1056,1048,2438,1098,1247,1643,446,600,2323,5083,18278,0,704,363,726,1013,865,364,253,364,759
ThatSkyFox/DialoGPT-small-joshua,,,,,,,,48,194,115,36,51,94,0,0,310,330,1127,901,1662,1984,1066,1324,1474,1282,1751,1932,1554,963,1932,2770,791,460,724,2019,430,2140,1994,2042,981,7245,5950,533,1963,54925,3631,5092,3841,1124,1394,708,1389,499
kakaobrain/kogpt,,,,,,,,,,,1,1926,1226,0,1053,939,676,687,929,998,811,194,428,836,527,329,839,797,1061,1299,2611,1138,640,724,354,387,722,568,431,326,401,578,668,0,540,921,424,616,826,993,575,211,276
monologg/kobigbird-bert-base,,,,,,,,199,324,448,958,1186,1689,1,1855,696,482,809,571,611,624,137,423,1551,823,1337,570,804,1159,1986,1011,415,462,878,1031,465,460,543,740,384,807,965,554,0,597,554,682,1206,837,577,479,147,614
Seznam/small-e-czech,,,,,1,7,118,98,40,111,994,155,323,0,625,1094,328,116,7999,7901,3776,3063,1149,1437,1097,312,1315,7891,14874,8160,7881,19770,463,230,12807,1875,4291,465,2116,1890,1211,1859,1190,438,1100,3271,1715,1373,2194,1317,336,110,66
vblagoje/bart_lfqa,,,,,,,,,,,,,,,,,,47,68,340,177,99,85,71,54,1238,1141,1345,1654,1432,908,962,878,984,1080,1065,1016,1204,1065,202,317,1564,1202,0,1174,1544,1674,1311,1469,1918,1343,678,687
