Model,2021-08-30T00:00:00.000Z,2021-09-06T00:00:00.000Z,2021-09-13T00:00:00.000Z,2021-09-20T00:00:00.000Z,2021-09-27T00:00:00.000Z,2021-10-04T00:00:00.000Z,2021-10-11T00:00:00.000Z,2021-10-18T00:00:00.000Z,2021-10-25T00:00:00.000Z,2021-11-01T00:00:00.000Z,2021-11-08T00:00:00.000Z,2021-11-15T00:00:00.000Z,2021-11-22T00:00:00.000Z,2021-11-29T00:00:00.000Z,2021-12-06T00:00:00.000Z,2021-12-13T00:00:00.000Z,2021-12-20T00:00:00.000Z,2021-12-27T00:00:00.000Z,2022-01-03T00:00:00.000Z,2022-01-10T00:00:00.000Z,2022-01-17T00:00:00.000Z,2022-01-24T00:00:00.000Z,2022-01-31T00:00:00.000Z,2022-02-07T00:00:00.000Z,2022-02-14T00:00:00.000Z,2022-02-21T00:00:00.000Z,2022-02-28T00:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-28T00:00:00.000Z,2022-04-04T00:00:00.000Z,2022-04-11T00:00:00.000Z,2022-04-18T00:00:00.000Z,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z,2022-08-22T00:00:00.000Z,2022-08-29T00:00:00.000Z
gogamza/kobart-base-v2,,,4,0,33,64,121,28,53,28,95,206,193,0,382,185,156,180,176,333,188,148,65,285,299,242,399,506,381,484,466,456,589,198,312,190,370,425,349,304,468,1405,352,0,1029,548,462,510,356,330,455,225,142
Salesforce/codet5-base-multi-sum,,,,,,,,,271,156,98,102,32,1,143,54,387,102,100,599,153,162,215,148,277,577,277,366,688,438,496,1229,509,464,540,812,539,447,718,968,661,694,359,409,437,774,635,610,493,373,400,182,173
KBLab/sentence-bert-swedish-cased,13,11,20,10,0,25,45,12,1,8,47,27,10,0,47,64,272,59,9,47,78,450,241,1081,244,221,790,630,180,988,489,404,86,920,5948,492,395,573,264,172,51,95,136,541,388,126,44,21,54,42,126,358,283
pysentimiento/robertuito-hate-speech,,,,,,,,,,,,,83,0,109,46,167,24,82,187,80,79,107,39,68,101,105,88,124,281,106,222,216,72,231,243,76,80,96,1006,6326,1818,448,0,398,299,10400,2142,345,396,356,177,57
SkolkovoInstitute/russian_toxicity_classifier,,,,,,,,,314,12176,298,167,153,0,3450,315,292,220,310,244,983,351,719,975,362,158,117,89,110,269,201,202,341,263,159,119,149,195,206,85,110,198,115,142,198,164,200,262,85,138,75,86,55
dandelin/vilt-b32-finetuned-vqa,,,,,,,,,,,,,,,29,17,53,1,11,7,54,13,106,92,91,214,146,301,481,246,399,286,478,244,250,457,262,327,172,262,239,629,660,513,614,958,876,838,888,1071,570,455,257
skt/ko-gpt-trinity-1.2B-v0.5,315,366,679,343,1010,918,174,428,814,526,223,479,573,10,224,150,178,451,167,237,215,238,216,449,291,592,651,1201,359,224,166,156,173,267,128,188,288,209,358,327,235,94,132,0,156,362,151,280,150,115,203,34,63
microsoft/trocr-base-stage1,,,,,,,3,4,36,143,127,175,230,0,185,136,71,31,247,230,263,270,360,883,262,153,109,160,619,499,645,433,117,494,358,177,348,152,256,470,226,307,447,0,450,349,797,157,228,122,104,133,88
uer/sbert-base-chinese-nli,58,17,20,15,49,4,56,59,39,134,26,32,98,0,517,94,131,126,120,133,157,12,5,237,39,29,96,351,165,430,368,120,450,250,317,222,488,2316,2883,258,308,438,405,0,405,383,288,487,856,1338,783,905,681
cointegrated/rubert-tiny-toxicity,13,8,105,68,105,12,125,39,91,16,35,181,51,0,151,119,144,172,137,313,312,341,428,718,589,165,116,57,117,43,165,124,177,139,137,208,323,434,142,161,394,146,126,236,88,451,2734,9897,10262,1964,980,508,69
megagonlabs/t5-base-japanese-web,145,124,134,35,135,82,289,97,120,81,128,92,220,0,226,284,205,65,119,202,109,111,297,324,235,368,113,8963,420,364,253,154,167,152,289,100,388,478,309,268,106,341,187,0,159,107,193,529,293,243,146,183,141
bigscience/T0,,,,,,,113,229,126,22,29,74,131,0,31,344,1598,366,545,57,72,48,1251,57,606,1156,73,145,1027,226,72,210,77,347,149,70,630,203,101,70,143,611,179,381,1450,848,318,431,1481,482,475,173,62
linydub/bart-large-samsum,,,338,163,71,226,196,163,146,311,437,238,87,0,222,401,135,37,76,276,124,544,540,202,206,138,330,118,173,177,213,95,196,246,231,196,87,178,116,89,113,39,67,0,57,125,42,67,24,95,45,15117,369
colorfulscoop/sbert-base-ja,27,29,53,80,92,96,90,211,142,123,100,93,218,7,183,71,88,123,71,139,91,68,73,147,384,286,558,617,274,230,112,263,184,324,194,77,105,111,184,119,244,391,569,456,345,253,261,403,360,295,253,116,69
ydshieh/vit-gpt2-coco-en,,,,,,,,214,126,40,64,199,229,5,481,404,217,1792,1429,168,175,223,218,156,138,178,388,1563,227,267,270,234,218,275,156,203,198,124,102,107,69,199,557,0,233,147,213,226,162,105,73,45,40
bvanaken/clinical-assertion-negation-bert,,,,74,22,11,34,11,10,34,43,88,18,0,27,43,66,16,115,44,522,144,183,1573,321,268,222,331,113,97,168,253,511,434,591,1036,1013,1121,217,657,1548,205,19164,502,18244,17941,105,119,167,279,225,57,61
Davlan/distilbert-base-multilingual-cased-ner-hrl,20,18,89,48,44,96,68,38,79,26,46,31,37,0,72,36,79,11,46,266,173,91,96,91,96,1531,1731,1706,502,742,492,260,528,335,218,157,153,145,39,59,45,63,64,123,108,52,95,78,180,92,45,57,52
DaNLP/da-bert-tone-sentiment-polarity,46,40,1931,38,49,61,156,262,280,552,288,39,91,0,117,770,36,978,32,26,223,397,155,36,104,198,513,320,161,77,55,736,130,261,335,89,60,112,126,117,118,457,65,220,66,66,15,30,130,186,109,2503,918
nguyenvulebinh/wav2vec2-base-vietnamese-250h,142,176,157,72,217,178,126,114,174,216,312,298,350,0,341,161,66,141,97,286,514,193,272,436,72,116,252,342,503,313,279,272,184,367,146,116,221,255,277,160,227,279,242,0,290,174,244,150,350,181,183,45,156
ImAPizza/DialoGPT-medium-alberttwo,113,17,11,8,0,30,58,118,175,247,27,13,5,0,16,45,18,9,14,32,35,46,83,90,69,21,90,102,133,118,126,156,167,143,129,145,181,171,1017,1123,461,838,285,1627,1559,1325,1200,1170,831,1192,846,777,42
EEE/DialoGPT-medium-brooke,,,,,50,0,84,117,34,0,0,0,0,0,30,24,31,2,0,24,41,35,90,0,0,60,116,80,98,100,126,192,232,152,115,123,129,380,712,750,1199,950,0,1572,1586,657,125,1240,957,1178,1166,774,55
facebook/dino-vitb16,,386,166,25,5,40,11,82,104,57,126,97,14,0,122,67,11,10,11,20,4,1,99,311,319,185,536,360,120,193,111,365,317,344,398,474,273,199,322,114,211,127,100,651,2352,3092,11009,4797,5328,5971,1724,255,206
nvidia/mit-b3,,,,,,,,,,,,,,,4,65,107,14,3,41,5,0,83,48,24,175,56,20,452,95,82,128,134,155,160,333,294,243,169,188,115,200,282,0,4258,499,516,1302,1719,742,936,207,521
banden/DialoGPT-medium-RickBot,,,,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,1,0,78,98,451,390,442,636,210,569,605,1315,722,974,822,888,101,990,946,331,1358,781,749,1173,1068,327
Langboat/mengzi-bert-base-fin,,,,,,,5,107,51,65,193,72,48,0,15,43,52,65,57,97,174,217,34,126,2334,2567,670,89,100,22,44,69,60,61,206,102,121,191,383,141,509,216,140,1271,724,420,422,608,94,113,219,123,30
SkolkovoInstitute/roberta_toxicity_classifier,,,,,,144,85,605,80,223,199,456,372,0,314,282,199,287,134,295,237,219,639,173,59,204,115,138,372,346,393,477,1443,355,51,147,282,82,221,212,177,117,114,41,199,214,93,118,131,151,120,112,49
microsoft/trocr-large-handwritten,,,,,,,,4,75,61,108,34,4,0,43,81,30,28,105,180,108,34,36,283,67,103,171,197,236,203,91,159,96,296,155,196,197,713,411,280,159,293,160,0,236,685,156,156,437,1178,1026,192,65
nvidia/mit-b5,,,,,,,,,,,,,,,175,127,99,23,147,42,57,108,186,397,95,64,76,316,271,180,167,130,60,157,90,88,136,129,333,222,155,261,1423,0,497,429,678,438,174,233,514,261,131
