Model,2022-04-25T00:00:00.000Z,2022-05-02T00:00:00.000Z,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z,2022-05-23T00:00:00.000Z,2022-05-30T00:00:00.000Z,2022-06-06T00:00:00.000Z,2022-06-13T00:00:00.000Z,2022-06-20T00:00:00.000Z,2022-06-27T00:00:00.000Z,2022-07-04T00:00:00.000Z,2022-07-11T00:00:00.000Z,2022-07-18T00:00:00.000Z,2022-07-25T00:00:00.000Z,2022-08-01T00:00:00.000Z,2022-08-08T00:00:00.000Z,2022-08-15T00:00:00.000Z
yiyanghkust/finbert-tone,5536,37310,39347,34555,35416,33167,28474,41584,62173,0,42523,63236,75388,30867,11572,2196,13057
google/bert_uncased_L-2_H-128_A-2,118,3294,31362,71871,388717,87212,92948,25553,13909,0,32462,106952,32712,14892,50679,15020,25829
joeddav/xlm-roberta-large-xnli,150,7649,8236,7635,16244,27359,22542,22692,11218,0,10057,9483,4923,9099,13020,38162,25661
mrm8488/t5-base-finetuned-question-generation-ap,3735,43763,40705,40842,40447,40569,30966,41109,31656,0,38762,40490,43832,48020,49982,50465,44814
prajjwal1/bert-tiny,223,25542,90716,54621,28258,19239,28319,32134,91614,0,291565,114313,163256,104398,304410,109896,142150
Helsinki-NLP/opus-mt-es-en,830,10093,11272,23830,25853,16765,9424,8104,9850,9084,17373,22656,21958,23808,14345,17237,11819
xlnet-base-cased,1269,14849,14046,30026,51517,10653,13449,29701,22409,0,22002,110244,73040,32984,23093,44888,69501
facebook/bart-large,1404,15199,19077,21060,19416,14615,27453,24187,20341,12082,22498,17026,17564,17175,17072,25097,14377
tuner007/pegasus_paraphrase,312,8568,6762,11538,10346,7009,16739,18689,9841,0,11897,14693,20970,12479,18795,25577,16946
allenai/scibert_scivocab_uncased,808,10670,10400,11335,12244,20099,15323,13925,14973,14063,22940,18333,22105,18019,13276,22572,30216
distilbert-base-cased,529,7893,12046,34067,13520,9275,88596,19186,21176,17606,13003,12063,13583,15519,12753,15030,16371
bert-large-cased,923,10721,9017,14694,9066,6812,18429,28329,11584,12070,33768,52406,54701,112484,49410,7505,54584
Helsinki-NLP/opus-mt-de-en,392,11608,18477,15028,49024,19451,10995,10378,13083,13496,12944,12747,17282,14931,13953,15451,11371
Helsinki-NLP/opus-mt-fr-en,337,11113,33904,21402,20855,27308,28077,19021,18898,49737,64384,49986,21272,9692,9890,10035,11706
microsoft/layoutlm-base-uncased,1148,10360,24631,21235,41757,31982,17680,19155,27779,0,19803,19318,16401,20852,17813,17721,21095
deepset/minilm-uncased-squad2,81,5204,8555,3810,4013,42265,49463,49221,53559,48228,51895,50971,52914,51339,51775,52950,42016
ckiplab/albert-tiny-chinese,1891,21018,22032,20109,19347,23943,28750,22770,23412,20432,20747,27031,23010,5970,4613,4076,3572
distilbert-base-multilingual-cased,402,9943,58556,75758,48851,44043,30669,26077,15010,19805,10886,16994,23785,18773,24972,69685,48019
Helsinki-NLP/opus-mt-ru-en,1203,16246,14878,18882,18384,19643,11011,9869,11350,9786,10107,11449,13811,11161,9681,10648,11435
t5-large,1106,12271,12730,17067,21626,8012,8585,18966,15970,0,15552,18623,28886,28768,19105,23941,19327
google/vit-base-patch16-224-in21k,859,64754,84426,58007,32154,19705,22232,15583,12997,0,37534,23104,76651,13282,27362,14356,58731
mrm8488/t5-base-finetuned-common_gen,63,912,3392,1140,20272,21348,16216,23424,19027,0,23163,24057,24813,24998,24975,25072,26831
gpt2-large,6421,86315,43073,16769,9775,6547,15976,49111,46692,0,8386,7952,10750,12952,10980,15645,12793
sentence-transformers/all-mpnet-base-v2,388,12056,39153,12678,26544,35132,12113,22696,10703,0,9721,69692,323462,189971,12982,215740,37759
cardiffnlp/twitter-roberta-base-sentiment-latest,279,3201,8010,14373,8308,76202,41022,9756,41752,12811,5173,7481,12056,24105,7799,7195,52346
j-hartmann/emotion-english-distilroberta-base,2239,16310,13848,15863,13319,13151,10230,16095,13217,0,28431,23520,27622,38538,29046,20003,13124
