,model_name
25298,Helsinki-NLP/opus-mt-lu-fr
17035,Helsinki-NLP/opus-mt-ln-de
15511,Helsinki-NLP/opus-mt-en-cs
25285,Helsinki-NLP/opus-mt-fi-ig
8619,Helsinki-NLP/opus-mt-crs-en
1768,Helsinki-NLP/opus-mt-ase-fr
8624,Helsinki-NLP/opus-mt-ja-fi
27702,Helsinki-NLP/opus-mt-en-et
1761,Helsinki-NLP/opus-mt-fi-pap
25265,Helsinki-NLP/opus-mt-es-ig
15436,Helsinki-NLP/opus-mt-csn-es
4746,Helsinki-NLP/opus-mt-sv-ho
15426,Helsinki-NLP/opus-mt-lus-fr
8498,Helsinki-NLP/opus-mt-sv-he
18266,Helsinki-NLP/opus-mt-ee-es
4805,Helsinki-NLP/opus-mt-run-es
19784,Helsinki-NLP/opus-mt-fi-kg
27659,Helsinki-NLP/opus-mt-en-gl
1847,Helsinki-NLP/opus-mt-ig-fr
21051,Helsinki-NLP/opus-mt-sv-el
15534,Helsinki-NLP/opus-mt-de-ha
1840,Helsinki-NLP/opus-mt-fi-pag
15518,Helsinki-NLP/opus-mt-es-wls
6149,Helsinki-NLP/opus-mt-de-hil
6126,Helsinki-NLP/opus-mt-sv-sq
6098,Helsinki-NLP/opus-mt-lv-fi
1835,Helsinki-NLP/opus-mt-crs-fr
27666,Helsinki-NLP/opus-mt-fi-bem
2649,Helsinki-NLP/opus-mt-chk-fr
18265,Helsinki-NLP/opus-mt-fr-el
1826,Helsinki-NLP/opus-mt-hi-en
8475,Helsinki-NLP/opus-mt-pag-es
8415,Helsinki-NLP/opus-mt-ig-es
15417,Helsinki-NLP/opus-mt-ko-en
8728,Helsinki-NLP/opus-mt-am-sv
2673,Helsinki-NLP/opus-mt-ny-es
15344,Helsinki-NLP/opus-mt-es-yo
20435,Helsinki-NLP/opus-mt-bi-fr
29678,Helsinki-NLP/opus-mt-fi-hr
8924,Helsinki-NLP/opus-mt-gil-sv
8926,Helsinki-NLP/opus-mt-ase-sv
25084,Helsinki-NLP/opus-mt-en-lus
3133,Helsinki-NLP/opus-mt-es-gil
8939,Helsinki-NLP/opus-mt-sv-eo
3137,Helsinki-NLP/opus-mt-niu-de
27744,Helsinki-NLP/opus-mt-ny-de
17086,Helsinki-NLP/opus-mt-fi-ha
29699,Helsinki-NLP/opus-mt-kg-es
8966,Helsinki-NLP/opus-mt-lue-fi
26925,Helsinki-NLP/opus-mt-mk-fi
28763,Helsinki-NLP/opus-mt-lg-es
8945,Helsinki-NLP/opus-mt-fr-ts
8714,Helsinki-NLP/opus-mt-ht-en
15354,Helsinki-NLP/opus-mt-pl-es
26883,Helsinki-NLP/opus-mt-sv-run
25224,Helsinki-NLP/opus-mt-en-ny
8745,Helsinki-NLP/opus-mt-is-es
17914,Helsinki-NLP/opus-mt-id-en
5462,Helsinki-NLP/opus-mt-ee-sv
1719,Helsinki-NLP/opus-mt-de-fj
15381,Helsinki-NLP/opus-mt-fr-en
8805,Helsinki-NLP/opus-mt-en-kwy
29664,Helsinki-NLP/opus-mt-fr-fj
20453,Helsinki-NLP/opus-mt-it-fr
20448,Helsinki-NLP/opus-mt-bcl-en
21163,Helsinki-NLP/opus-mt-en-nl
6562,Helsinki-NLP/opus-mt-sv-ceb
29655,Helsinki-NLP/opus-mt-es-gl
29658,Helsinki-NLP/opus-mt-en-bg
16518,Helsinki-NLP/opus-mt-sv-ilo
27742,Helsinki-NLP/opus-mt-ru-en
27734,Helsinki-NLP/opus-mt-st-en
16555,Helsinki-NLP/opus-mt-es-tvl
5460,Helsinki-NLP/opus-mt-niu-fi
8392,Helsinki-NLP/opus-mt-rw-fr
7929,Helsinki-NLP/opus-mt-kqn-sv
18188,Helsinki-NLP/opus-mt-en-pap
28819,Helsinki-NLP/opus-mt-crs-de
7947,Helsinki-NLP/opus-mt-fi-efi
27605,Helsinki-NLP/opus-mt-ja-de
15746,Helsinki-NLP/opus-mt-ro-fi
15744,Helsinki-NLP/opus-mt-hil-en
29461,Helsinki-NLP/opus-mt-fr-bzs
5445,Helsinki-NLP/opus-mt-fr-lus
15739,Helsinki-NLP/opus-mt-ber-en
20323,Helsinki-NLP/opus-mt-fr-tvl
